experiment_id,total_cost,is_steady,xmeas_time,xmeas_A Feed,xmeas_D Feed,xmeas_E Feed,xmeas_A and C Feed,xmeas_Recycle Flow,xmeas_Reactor Feed Rate,xmeas_Reactor Pressure,xmeas_Reactor Level,xmeas_Reactor Temperature,xmeas_Purge Rate,xmeas_Product Sep Temp,xmeas_Product Sep Level,xmeas_Product Sep Pressure,xmeas_Product Sep Underflow,xmeas_Stripper Level,xmeas_Stripper Pressure,xmeas_Stripper Underflow,xmeas_Stripper Temp,xmeas_Stripper Steam Flow,xmeas_Compressor Work,xmeas_Reactor Coolant Temp,xmeas_Separator Coolant Temp,xmeas_Component A to Reactor,xmeas_Component B to Reactor,xmeas_Component C to Reactor,xmeas_Component D to Reactor,xmeas_Component E to Reactor,xmeas_Component F to Reactor,xmeas_Component A in Purge,xmeas_Component B in Purge,xmeas_Component C in Purge,xmeas_Component D in Purge,xmeas_Component E in Purge,xmeas_Component F in Purge,xmeas_Component G in Purge,xmeas_Component H in Purge,xmeas_Component D in Product,xmeas_Component E in Product,xmeas_Component F in Product,xmeas_Component G in Product,xmeas_Component H in Product,xmv_time,xmv_D feed load,xmv_E feed load,xmv_A feed load,xmv_A and C feed load,xmv_Compressor recycle valve,xmv_Purge valve,xmv_Separator liquid load,xmv_Stripper liquid load,xmv_Stripper steam valve,xmv_Reactor coolant load,xmv_Condenser coolant load,xmv_Agitator speed
1,87.60408845830374,True,29.725,0.26413763728183404,3654.635884696243,4441.32976821191,9.197129973595516,31.968351077189006,47.17344746128991,2767.516067512107,64.91492466980066,121.92413391434336,0.20247135417599543,90.2827749411608,49.75340385611466,2674.108471858361,25.258803402933903,49.65633712113869,3288.398449570525,22.834775730298382,65.28853030675583,4.817373995528938,276.95088493480426,101.55686483417999,90.53244453352224,32.16574145071774,14.504814171167771,18.984068765737867,6.179753739338407,17.7457946675184,3.470224795894629,32.79955598184935,21.190123958595002,13.30883939959189,1.0744936262849374,17.63330192676847,4.632759471472858,6.417715261397729,3.0846322134110786,0.008116462121290153,0.6693134777702389,0.16885935987676595,54.02133291137898,43.95861855151928,29.725,62.883147130849764,53.110726193190395,25.9953311677426,60.42034961544613,1.0,24.856099805379575,37.31987511477951,46.35666701346341,1.0,36.33033133974718,12.896288728117003,100.0
2,88.20454518709998,True,29.775,0.23698861930440987,3220.095823564477,3901.2511555656843,8.14254431044828,33.28831663778169,46.659063173148255,2823.036436491281,64.88890256184304,123.54808325140729,0.1927009158229903,97.90942046051295,49.959864242332756,2729.613816981438,22.096968032185977,49.261278968983525,3343.8617792179625,20.33742575181222,71.99850224780465,3.5889845060804837,287.2717551137495,105.21639138328104,98.7861546180735,31.945079387135614,15.911692705925498,18.667609230314316,5.32631097727719,13.917525835747531,4.8245938203432726,32.476676678884004,22.239345791420323,13.907964862717046,0.635573219097376,12.763294927218611,6.269148254013982,7.901908634426556,3.89104807299188,0.007489304145744916,0.362730896720876,0.16161968915808025,53.49071696021616,44.197393511839145,29.775,55.388882187500485,46.63228399313756,23.285201768548706,53.46771495048138,1.0,23.828383752226568,32.22387137973399,40.851782691485845,1.0,31.00666178535972,9.477237699795642,100.0
3,88.45005207746273,True,29.775,0.2343060896809524,3336.2440472926364,4055.5607659812367,8.459861079248356,32.98054448044785,46.93602023281583,2799.82346589348,65.02648794255363,121.66183088668603,0.1919007882028454,93.58008459142579,49.21346554740877,2706.6717000938024,22.858111505473307,49.71947732250696,3319.6667037127204,20.971872578991064,68.3704378142324,4.6769465777307575,284.9610669238119,102.81631580172044,94.80902734251542,32.22412509062067,15.688694129179117,18.715924657916062,5.637797310315241,16.19094825270389,3.7068258153811775,32.736789750855756,22.08135618821691,13.478556999474364,0.9455404954477042,15.34603915440815,4.835736148240897,7.03932383999107,3.4586935768157465,0.007750620694063548,0.5025482867762257,0.16489551753619958,53.646767737138575,44.66613206178174,29.775,57.45092525676138,48.56551974486183,23.058421412778156,55.53642678691656,1.0,23.48087279813718,33.734965358362146,42.44907044546278,1.0,32.97362342764656,10.126754472680194,100.0
4,87.58966820692295,True,29.775,0.25974896326176433,3316.465959546247,4022.374002123341,8.442924260426185,31.863756645624136,45.5986013913233,2812.924539013287,64.80701648481379,127.08427646360776,0.2376377062155058,102.05829837560896,49.840660466379504,2719.597977391751,23.12844799171662,48.7886204722209,3334.5332370440874,20.960325805042416,75.10882362539951,3.807156786894713,280.42657034046033,108.09936482718231,100.93729465915122,32.384493214784335,14.01484559672144,18.57923806188337,5.398733400715846,12.493688846850038,6.930455282498544,32.83533843105506,19.93193220339141,13.48149810147691,0.4477473340756749,10.926851258554368,9.145280948831699,8.859019128948807,4.366658345104822,0.007293117791605052,0.26236365290734565,0.21122788683697316,53.61603443845443,44.23680674209681,29.775,57.12716540638932,48.361495094888404,25.544918955627708,55.30064885646486,1.0,30.26938168900535,33.328533152285516,42.03537613560272,1.0,30.828698170550762,8.175376844904438,100.0
5,87.84993106038196,True,29.775,0.2505772874636522,3303.4167876864076,4026.728214645911,8.395845828283584,31.950703902698443,45.766258968331314,2735.5143700927997,64.88428904211636,123.8240357551957,0.19653077445648992,97.58199665090947,49.84278407223905,2644.2397364053527,22.822893539658544,48.83004584386959,3245.614310351524,20.870181962176652,71.5900079044844,3.965163168094166,278.6978517513476,104.98524297378249,96.83295884888216,32.07766272520578,14.367022764098504,18.851889139384024,5.578505190060249,15.144415591500763,4.781477863386252,32.55126475980292,20.422617562372807,13.757079784463722,0.7076547302113664,14.238628629650098,6.2934858780515714,8.090277177209499,3.976944148469476,0.005318183400484946,0.3956784171620823,0.17561983651954818,54.283158767763965,44.29989339798322,29.775,56.857453160270765,48.28679579629495,24.62750511426872,54.99351425714387,1.0,24.92336519146603,33.27924801874576,41.97092266647226,1.0,31.946172722994117,9.878546984087832,100.0
6,87.57712476659432,True,29.775,0.2652196693611076,3277.149400444095,3966.586368567581,8.279143338131695,32.187087265958574,45.70418934383,2842.6039650833486,64.86006967051743,127.40405614494735,0.2123432371581694,102.88086273696872,49.25232302693134,2748.5316999138704,22.751532796131038,48.1026824308581,3367.2948851116685,20.649733981003216,75.76762567718023,3.1605579283206686,282.20010055232336,108.67639959135127,102.03909502788733,32.05470018439466,14.226614762282328,18.931669694792,5.284614366098251,12.103198818810199,7.248362327965728,32.475380701039754,20.116644896068415,13.507231338863814,0.3664565372487031,10.321124256826781,9.519385194693196,8.981913818964017,4.483457159970994,-0.001939660295177164,0.2509687600525878,0.2122715487712563,53.36972250489082,44.29677590290523,29.775,56.411974476421605,47.3547410436925,25.98478657038948,54.360155664634384,1.0,26.87069466912099,32.754833753308425,41.36383499215379,1.0,30.18570644684374,8.27494780416566,100.0
7,87.25904846406834,True,29.775,0.26979196190610444,3530.6599830160726,4313.504133054766,8.942511219900977,31.305121626090692,46.02165790622948,2731.911675089083,64.69372246437783,124.04867186296694,0.21524644595138667,95.34146018776713,50.56769647364664,2639.663592779682,24.486339216500006,49.669617039835174,3245.734975924342,22.210974537796353,69.55759575896657,4.049691238614674,274.60649648923,104.06114682698255,93.92659263151106,32.29575291947333,13.84066924774566,18.861709200143142,5.8810578047536,16.313037466461644,4.714179069199662,32.7915774323403,20.270680055639552,13.083013714777229,0.7160459677640614,15.542629415503265,6.332493600705339,7.4984162302134365,3.72360692681123,0.008795554096665815,0.4789681715825781,0.19657736170255768,53.87563105047752,44.23519457595755,29.775,60.849283507553324,51.60636679202154,26.511857543963337,58.67551096041274,1.0,27.261730318987798,35.874688863927,44.9017183959729,1.0,34.377154229716744,11.514270616570546,100.0
8,88.26115518559189,True,29.775,0.25056935496034816,3573.269885796892,4334.448594912976,9.01266277420058,33.24061894168439,48.05839294945094,2844.639751860776,65.27256046305565,121.51034552045203,0.21102489413766187,90.40316893223931,50.089313710736484,2749.3481145059004,24.495771867506395,49.622835601646145,3374.8103110792918,22.355234350451806,65.59129052014968,4.671221059518949,284.7551309921169,101.61880399748891,92.26978681288705,31.982443217362885,15.918001182434043,18.907149784134266,5.913388489332283,16.824062040462717,3.4641616164596747,32.69565920699232,22.767870669547847,13.640059700324622,1.0408283940452523,16.15005093765603,4.54550358382514,6.271572807067486,3.040449416842872,0.023530274863284607,0.6084450829408509,0.17769645801765793,54.082661308784836,43.71430789298963,29.775,61.27299655699885,51.88198769516504,24.670491041573175,59.08177888068816,1.0,25.194664270947243,36.267444664406945,45.30183076675934,1.0,35.41561996983455,13.318695140236395,100.0
9,87.6322041110994,True,29.775,0.253028196460529,3227.114813903159,3922.769095477831,8.211774368583502,32.11927297895393,45.40598861278578,2829.126997949886,65.05995675966813,127.51879156118089,0.2175641703630264,103.46062484896916,50.09501897685048,2735.4124128810727,22.577267896867845,48.6951337652528,3351.0303239364425,20.388339032201923,76.24262176603649,3.323472896746858,281.45509037075834,109.0200953365324,102.4382742507388,32.35094867634622,14.053063656469856,18.8801787540176,5.254147574732341,12.016874619855434,7.331260086508965,32.627131507775076,19.943219872484683,13.56380353172158,0.38360797292201765,10.242547317686292,9.665540564743699,9.135437118994153,4.553618993708498,0.00122232645912453,0.21738718617405955,0.21498026996725866,53.70483988837357,44.14728452171655,29.775,55.60613324856357,46.930412406583415,24.915633026479757,53.66089146769299,1.0,27.625752583064987,32.38635475414181,40.86152587553679,1.0,29.669092098410136,8.874804280676436,100.0
10,87.62999584316748,True,29.775,0.25849377698693904,3629.9028818480742,4419.392914286155,9.178547681520424,31.981618280672613,47.075208272320424,2774.4618907871104,65.15131678215296,122.39256264377404,0.22005062134024725,91.22364072524623,50.94231891171783,2680.8261770799245,25.142028556245926,50.16912178890557,3296.2229712650937,22.66745891353425,66.09944101709114,4.748813938466948,277.0962468217782,102.09361905874263,91.30141121710056,32.22247523019026,14.632506314913954,18.795402251135936,6.042916278375868,17.166611026836925,3.758943708746277,32.557163725284475,21.34154375150835,13.001709234409393,0.9863443444170423,16.807647903140897,5.013483836119052,6.558079564387528,3.190510441351073,0.006781865308280918,0.6272757947185424,0.17102650127105176,54.078422251399765,44.11617656146469,29.775,62.44602435313268,52.96366226021779,25.44666589469796,60.18909599438372,1.0,27.121834680557743,37.082327301837516,46.14290618146868,1.0,35.89951984954905,11.933629313353407,100.0
